0,1,2,3,4,5,6,7,8,9,10,11,12
0,1,-88986,-196021,160337,178390,160338,142713,1,1,1,1,42
0,-17629,-53308,-53307,107035,124661,107036,88983,1,1,1,1,42
0,-17628,-53307,-53306,89410,107037,89412,71358,1,1,1,1,42
0,1,-35253,-35252,107035,125088,107036,89411,1,1,1,1,42
0,1,-53304,-53302,124661,142288,124663,107036,1,1,1,1,42
0,1,-35679,-53305,142714,160341,142716,124663,1,1,1,1,42
0,-17626,-53305,-53304,124664,142292,124665,107039,1,1,1,1,42
0,2,-53303,-53302,160341,177967,160342,124663,1,1,1,1,42
0,1,-53735,-53734,160338,177964,160339,142286,1,1,1,1,42
0,-17626,-160342,-160341,142714,178393,160340,124662,1,1,1,1,42
0,1,-53731,-53730,142287,177967,142288,124662,1,1,1,1,42
0,-18052,-71358,-71357,124662,142289,124664,106610,1,1,1,1,42
0,-18053,-71357,-71356,124661,142288,124662,107036,1,1,1,1,42
0,-17626,-71358,-88984,142712,160339,142714,124661,1,1,1,1,42
0,1,-53731,-53730,124662,142288,124663,106610,1,1,1,1,42
0,-18053,-71357,-71356,142290,160344,142292,124665,1,1,1,1,42
0,1,-53303,-53302,124659,142715,124661,88982,1,1,1,1,42
0,-18053,-53734,-53733,124663,142289,124664,106609,1,1,1,1,42
0,1,-53304,-53303,124663,160342,142716,107038,1,1,1,1,42
0,-18053,-53734,-53733,160340,196018,160341,124663,1,1,1,1,42
0,-18053,-53305,-53304,124663,142289,142290,124664,1,1,1,1,42
0,-18055,-71361,-71360,142285,177963,142286,124658,1,1,1,1,42
0,1,-53306,-53305,142715,178394,142716,124662,1,1,1,1,42
0,1,-53307,-70933,142712,160341,142713,125088,1,1,1,1,42
0,1,-53303,-70929,160343,178396,160344,125091,1,1,1,1,42
0,-17628,-53309,-53308,124660,142713,124661,107036,1,1,1,1,42
0,-17626,-53305,-53304,142713,160342,142715,124661,1,1,1,1,42
0,1,-35253,-53307,125087,160766,142714,107034,1,1,1,1,42
0,-17626,-71359,-71358,124659,142715,124661,107034,1,1,1,1,42
0,-18053,-71357,-71356,124661,142287,124662,106608,1,1,1,1,42
0,-17626,-71357,-71356,124660,142713,124661,107036,1,1,1,1,42
0,-17626,-53307,-53306,107038,142716,107039,88986,1,1,1,1,42
0,-18055,-53307,-53306,124660,142288,124661,106608,1,1,1,1,42
0,-18053,-71359,-53733,142286,177966,160340,124661,1,1,1,1,42
0,-18052,-53733,-53732,124661,142288,124663,88982,1,1,1,1,42
0,-18053,-71359,-71358,106612,124665,106613,88984,1,1,1,1,42
0,-18053,-53732,-53731,124660,142286,124661,88982,1,1,1,1,42
0,-18056,-53308,-53307,107033,142288,124660,88981,1,1,1,1,42
0,-17625,-71358,-71357,107035,124662,107036,71357,1,1,1,1,42
0,1,-53733,-53732,124659,142287,124660,88981,1,1,1,1,42
0,1,-53305,-53304,125088,142714,125089,107036,1,1,1,1,42
0,1,-53306,-53305,125088,160339,125089,107034,1,1,1,1,42
0,1,-53732,-53731,124661,160343,124662,88983,1,1,1,1,42
0,1,-53730,-53729,142286,160339,142287,107036,1,1,1,1,42
0,1,-53306,-53305,107035,142717,124664,88983,1,1,1,1,42
0,1,-35681,-35680,107036,124663,107038,71358,1,1,1,1,42
0,-17626,-53306,-70932,142715,178394,142717,125090,1,1,1,1,42
0,-17626,-35679,-53305,124663,160342,124664,107035,1,1,1,1,42
0,-17626,-70930,-70929,107037,142718,125090,89411,1,1,1,1,42
0,1,-53306,-53305,107037,142718,107039,88985,1,1,1,1,42
0,1,35684,18056,124666,160344,160345,124668,1,1,1,1,13
0,1,53734,35681,178393,214072,214073,178395,1,1,1,1,13
0,18053,53732,53733,196020,231700,231701,196021,1,1,1,1,13
0,1,35682,18054,160341,178395,178396,160343,1,1,1,1,13
0,17627,53308,35254,159914,177967,177968,159915,1,1,1,1,13
0,18053,35681,35682,160341,178398,178399,160342,1,1,1,1,13
0,1,35680,18054,160337,178393,178394,160339,1,1,1,1,13
0,17627,35680,35681,177967,213649,196021,177969,1,1,1,1,13
0,18054,35682,35683,160342,177968,177969,160343,1,1,1,1,13
0,18053,53732,53733,214071,267377,267378,231700,1,1,1,1,13
0,17627,53308,35682,177968,196021,196022,177969,1,1,1,1,13
0,17626,53305,53306,177966,195595,195596,177968,1,1,1,1,13
0,17629,53308,35682,160344,177970,177971,160345,1,1,1,1,13
0,18054,35680,35681,142714,160341,160342,142716,1,1,1,1,13
0,17626,35680,35681,160342,196023,196023,160344,1,1,1,1,13
0,18054,53309,35683,160344,177970,177971,160345,1,1,1,1,13
0,18053,35680,35681,160342,177969,177970,160344,1,1,1,1,13
0,18053,53306,35680,178396,196024,196025,178398,1,1,1,1,13
0,18056,35682,35683,160344,196022,196023,160345,1,1,1,1,13
0,17627,53308,35680,160343,177969,177970,160344,1,1,1,1,13
0,18053,35684,18055,160341,196023,196024,178397,1,1,1,1,13
0,17627,35254,35255,160340,177966,177967,160341,1,1,1,1,13
0,1,35253,35254,142289,177969,160343,142291,1,1,1,1,13
0,18054,35680,35681,142717,160344,160345,142719,1,1,1,1,13
0,17629,53310,35258,142293,177972,160346,142294,1,1,1,1,13
0,18055,35681,35682,142716,160342,160343,142717,1,1,1,1,13
0,17627,35253,35254,160344,177971,177972,160345,1,1,1,1,13
0,18053,35679,35680,160341,178394,178395,160342,1,1,1,1,13
0,1,35683,35684,142290,177971,177972,142292,1,1,1,1,13
0,1,35255,17629,124664,142291,142292,124666,1,1,1,1,13
0,1,35681,35682,142287,160342,160343,142289,1,1,1,1,13
0,17626,35679,35680,160340,177967,177968,160342,1,1,1,1,13
0,17626,35253,35254,142287,177967,177967,160341,1,1,1,1,13
0,18053,35679,35680,160341,178394,178395,160342,1,1,1,1,13
0,1,35682,17629,124662,142288,142289,124663,1,1,1,1,13
0,18054,53735,35681,160343,178396,178397,160344,1,1,1,1,13
0,1,35681,18055,142717,160344,160345,142719,1,1,1,1,13
0,18055,35682,35683,160341,178395,178396,160343,1,1,1,1,13
0,17626,53308,35253,142292,177972,177972,160346,1,1,1,1,13
0,1,35681,35682,142715,160344,160345,142717,1,1,1,1,13
0,17628,35682,17629,124664,142291,142292,124666,1,1,1,1,13
0,1,17627,17628,107036,124665,124666,107038,1,1,1,1,13
0,1,18053,18054,107035,124664,142717,124665,1,1,1,1,13
0,17626,53306,35680,142717,160347,177974,142718,1,1,1,1,13
0,18054,35682,35683,124662,160342,160343,142716,1,1,1,1,13
0,17627,35682,35683,124665,142292,142292,124667,1,1,1,1,13
0,1,35682,18056,125092,160344,160345,125094,1,1,1,1,13
0,1,35679,17627,106611,142291,142292,124664,1,1,1,1,13
0,17629,53309,35683,124664,160344,160345,142291,1,1,1,1,13
0,18052,53731,53732,142713,160341,160342,142715,1,1,1,1,13
0,-17626,2,18056,107038,107039,142717,142718,1,1,1,1,24
0,-17626,1,18055,142716,142717,231700,231700,1,1,1,1,24
0,-35678,1,17629,142713,160342,213645,213646,1,1,1,1,24
0,-35679,-17626,18053,124660,142713,178393,178394,1,1,1,1,24
0,-35678,1,35680,142715,160341,285429,320681,1,1,1,1,24
0,-35679,-18052,17627,124661,124662,177967,231271,1,1,1,1,24
0,-35677,2,35680,142716,160344,231702,231703,1,1,1,1,24
0,-35678,1,18057,107038,124664,196022,196023,1,1,1,1,24
0,-35681,-17628,18056,124661,142714,267377,249324,1,1,1,1,24
0,-35679,-17625,18054,107036,142715,178393,196020,1,1,1,1,24
0,-53733,-18052,17627,106609,124662,177970,177971,1,1,1,1,24
0,-35681,-18053,17627,106609,124664,177969,160343,1,1,1,1,24
0,-35679,-17625,17627,71358,88984,160343,142717,1,1,1,1,24
0,-35680,1,17627,71358,107036,124667,107037,1,1,1,1,24
0,-35679,-17626,18054,89411,107039,142720,142721,1,1,1,1,24
0,-18053,1,17627,106613,124666,160346,142293,1,1,1,1,24
0,-53306,-17627,2,53731,71357,88984,88985,1,1,1,1,24
0,-35679,-18053,17627,88984,124664,160344,142291,1,1,1,1,24
0,-35680,-18053,17628,88984,124662,160344,142289,1,1,1,1,24
0,-35252,-17625,18056,89411,125090,214075,178396,1,1,1,1,24
0,-18054,2,17627,106607,124662,196020,177968,1,1,1,1,24
0,-17627,1,17627,71358,88985,107038,88986,1,1,1,1,24
0,-35678,2,17627,107036,124664,160342,160343,1,1,1,1,24
0,-17626,1,18056,89412,107039,142718,125092,1,1,1,1,24
0,-17628,1,17627,107036,124662,160344,142716,1,1,1,1,24
0,-18053,1,17627,106611,124664,196021,177968,1,1,1,1,24
0,-35679,-17626,2,53732,88984,124664,107038,1,1,1,1,24
0,-35679,-17625,18056,89411,124663,178396,142716,1,1,1,1,24
0,-35681,-17625,18056,107036,124663,231699,178395,1,1,1,1,24
0,-18052,2,35680,124663,142716,267379,231699,1,1,1,1,24
0,-17626,1,17628,107037,124663,177971,177972,1,1,1,1,24
0,-18052,2,35679,106609,124663,196021,177969,1,1,1,1,24
0,-35678,1,18055,71358,107038,142717,142718,1,1,1,1,24
0,-35678,1,17629,70933,106613,142293,124667,1,1,1,1,24
0,-35678,2,18054,107037,125090,214074,196022,1,1,1,1,24
0,-35681,-17626,17627,88984,107038,177970,160344,1,1,1,1,24
0,-35251,1,18054,107038,125093,196025,178399,1,1,1,1,24
0,-35678,2,18056,71359,107038,160347,142717,1,1,1,1,24
0,-35679,-18053,17629,71359,88986,142294,124666,1,1,1,1,24
0,-53306,-17625,18054,71359,89412,142719,125093,1,1,1,1,24
0,-53307,-17626,18053,53733,88985,124664,124665,1,1,1,1,24
0,-35681,-17628,17627,71357,88984,142717,124662,1,1,1,1,24
0,-35680,1,17627,71356,106610,142288,142289,1,1,1,1,24
0,-35679,-17626,18054,71356,88985,142716,124664,1,1,1,1,24
0,-35681,-18053,17627,71356,88983,106609,106610,1,1,1,1,24
0,-53731,-18052,17629,71363,88989,124671,107043,1,1,1,1,24
0,-35681,-17627,17627,53305,88983,124662,124663,1,1,1,1,24
0,-35681,-18053,1,53305,71359,124665,106611,1,1,1,1,24
0,-35253,-17626,18056,71359,89412,125091,125092,1,1,1,1,24
0,-18054,2,35254,106610,124664,160343,142290,1,1,1,1,24
0,-35682,-35681,-18052,142285,142286,124659,124660,1,1,1,1,31
0,-53306,-53305,2,177967,177968,142716,142717,1,1,1,1,31
0,-53731,-53730,-18053,160341,160342,124662,142289,1,1,1,1,31
0,-53305,-53303,1,177964,177965,142286,160340,1,1,1,1,31
0,-35679,-53306,-18053,142287,142288,107036,124662,1,1,1,1,31
0,-53304,-71357,-17626,160338,160339,124661,142714,1,1,1,1,31
0,-53306,-53305,-17627,160766,160767,125089,125090,1,1,1,1,31
0,-53306,-71359,-18054,177968,177969,142288,142289,1,1,1,1,31
0,-35683,-35682,-18055,160339,142713,124658,124659,1,1,1,1,31
0,-35252,-35251,1,178393,178394,142715,142716,1,1,1,1,31
0,-35680,-35679,1,160338,160339,124660,124661,1,1,1,1,31
0,-53308,-53307,-17625,160339,160340,125088,125089,1,1,1,1,31
0,-17628,-35680,2,160341,160342,142715,142716,1,1,1,1,31
0,-17628,-35681,1,160341,160342,142715,142716,1,1,1,1,31
0,-53732,-53731,-18052,177964,177965,142286,142287,1,1,1,1,31
0,-35252,-35251,2,178394,178395,142713,160339,1,1,1,1,31
0,-35678,-35677,2,160340,160341,142714,142715,1,1,1,1,31
0,-35254,-53307,-17625,142715,142716,125090,125091,1,1,1,1,31
0,-35254,-35253,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-35681,-53734,-18054,160340,160341,124661,124662,1,1,1,1,31
0,-35679,-53305,-17625,142715,142716,124661,124662,1,1,1,1,31
0,-35679,-53305,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-18052,-35678,2,160341,160342,142288,142289,1,1,1,1,31
0,-17626,-35679,1,160342,142716,124663,124664,1,1,1,1,31
0,-35251,-35250,1,125091,125092,107038,107039,1,1,1,1,31
0,-35679,-35678,-17625,124663,124664,107037,107038,1,1,1,1,31
0,-35681,-35680,-18052,160342,160343,124664,124665,1,1,1,1,31
0,-35678,-35677,2,124662,124663,106610,106611,1,1,1,1,31
0,-35684,-35682,-18054,142287,142288,106609,106610,1,1,1,1,31
0,-35679,-35678,-17626,124665,124666,107039,107040,1,1,1,1,31
0,-35681,-35680,-17625,107037,107038,88985,88986,1,1,1,1,31
0,-17626,-35679,2,124663,124664,89410,89411,1,1,1,1,31
0,-17626,-35679,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-17627,-17626,2,142716,142717,125091,125092,1,1,1,1,31
0,-35679,-35678,-18051,124662,124663,107035,107036,1,1,1,1,31
0,-35681,-35680,-18054,124661,124662,107035,107036,1,1,1,1,31
0,-35678,-35677,2,106611,106612,88986,88987,1,1,1,1,31
0,-35680,-35679,2,124663,124664,106607,106608,1,1,1,1,31
0,-17628,-35681,1,124661,124662,107035,107036,1,1,1,1,31
0,-35679,-35678,2,124666,124667,88989,107041,1,1,1,1,31
0,-18055,-35681,1,106609,106610,88983,88984,1,1,1,1,31
0,-35679,-53732,-18052,88984,88985,53306,53307,1,1,1,1,31
0,-17627,-35253,-17626,89410,107037,71358,71359,1,1,1,1,31
0,-18056,-35682,-18055,107037,107038,88985,88986,1,1,1,1,31
0,-18054,-35682,-18053,124663,124664,88985,88986,1,1,1,1,31
0,-35252,-35251,-17625,107036,107037,71358,71359,1,1,1,1,31
0,-35679,-53307,-35677,124664,124665,71358,71359,1,1,1,1,31
0,-35256,-35255,-17626,89410,89411,53731,53732,1,1,1,1,31
0,-35679,-53305,-18052,107036,107037,71358,71359,1,1,1,1,31
0,-35252,-53306,-17625,107037,107038,71358,71359,1,1,1,1,31
