 1144,1928,1120,352,1736,2152,1272,512
1160,1888,1272,360,1520,2024,1168,392
1240,1888,1440,432,1376,1952,1088,376
1296,1888,1600,528,1272,1936,1064,392
1320,1904,1792,608,1160,1872,1048,376
1432,1960,1800,656,1192,1928,1056,368
1464,2048,1808,608,1256,2008,1104,416
1440,2120,1704,592,1360,2104,1136,440
1408,2192,1536,504,1496,2216,1240,464
1344,2160,1416,432,1648,2352,1312,488
1256,2128,1296,384,1784,2376,1368,552
1200,2080,1120,368,1840,2408,1384,592
1176,2000,1056,336,1888,2392,1400,600
1176,1984,1080,336,1880,2368,1384,584
1152,1976,1144,328,1784,2248,1328,544
1152,1992,1208,344,1616,2136,1232,456
1200,1904,1344,384,1488,2064,1160,376
1232,1872,1496,488,1288,1920,1080,360
1264,1808,1616,560,1208,1840,1040,352
1288,1768,1744,640,1128,1800,992,344
1392,1752,1864,728,1016,1776,960,360
1408,1816,1920,752,1080,1808,976,336
1496,1944,1888,688,1160,1912,1016,408
1400,2120,1688,592,1304,2032,1096,440
1368,2176,1504,488,1496,2224,1224,472
1296,2168,1264,408,1728,2400,1368,536
1248,2096,1072,344,1984,2472,1448,648
1184,1936,912,336,2072,2488,1488,704
1120,1896,888,280,2072,2408,1512,744
1128,1864,888,296,2056,2392,1440,688
1120,1912,928,272,1904,2288,1368,592
1128,1896,1072,272,1752,2208,1280,488
1176,1960,1208,336,1560,2120,1200,472
1232,1936,1392,384,1448,2008,1128,416
1280,1904,1544,520,1304,1936,1064,384
1336,1896,1664,592,1184,1928,1000,384
1376,1928,1784,648,1136,1840,1016,360
1440,2008,1832,728,1128,1888,1056,384
1472,2120,1784,664,1216,1960,1056,400
1448,2200,1680,624,1344,2120,1160,472
1408,2256,1520,536,1552,2288,1272,496
1328,2160,1272,400,1752,2408,1400,592
1232,2064,1120,368,1920,2408,1424,624
1200,2008,1072,352,1880,2384,1408,616
1176,1952,1064,320,1808,2296,1336,552
1152,1936,1144,312,1728,2168,1264,488
1168,1936,1312,336,1504,2064,1144,432
1200,1832,1408,440,1336,1920,1064,344
1280,1816,1608,560,1176,1872,992,368
1320,1688,1792,656,1072,1752,960,344
1392,1688,1904,800,944,1720,928,328
1472,1792,2032,896,968,1696,944,336
1488,1928,2024,832,984,1808,984,328
1520,2072,1928,744,1120,1872,1032,376
1464,2176,1720,648,1304,2040,1144,432
1384,2216,1544,488,1456,2200,1184,432
1296,2096,1360,416,1616,2248,1248,480
1224,2024,1272,384,1672,2200,1256,504
1168,1968,1208,344,1616,2168,1232,496
1128,1896,1216,320,1536,2032,1160,384
1152,1824,1352,400,1408,1968,1080,336
1176,1744,1512,448,1240,1824,1000,336
1216,1656,1632,552,1104,1744,952,312
1304,1600,1760,680,984,1640,888,304
1344,1608,1912,800,920,1648,912,296
1416,1672,1952,848,928,1648,904,312
1456,1808,1936,808,992,1744,944,360
1424,1968,1896,728,1136,1864,1000,352
1432,2072,1720,600,1304,2088,1120,376
1384,2168,1480,528,1464,2200,1216,440
1264,2120,1296,360,1656,2272,1296,560
1232,2056,1168,320,1800,2312,1352,568
1128,1960,1072,312,1840,2304,1328,560
1112,1856,1048,272,1832,2176,1280,552
1072,1808,1040,280,1744,2072,1232,472
1072,1736,1128,320,1584,1984,1128,392
1064,1744,1272,312,1440,1912,1024,344
1112,1624,1424,376,1240,1816,992,312
1160,1552,1592,512,1128,1752,912,280
1200,1528,1664,584,1024,1648,880,272
1264,1520,1840,704,984,1632,864,280
1304,1584,1888,784,984,1672,904,280
1352,1664,1864,816,1024,1752,952,336
1368,1768,1888,712,1064,1800,1000,312
1400,1904,1792,640,1208,1984,1048,376
1376,2048,1624,560,1360,2072,1112,432
1344,2120,1416,448,1608,2296,1264,552
1248,2064,1168,368,1800,2416,1376,552
1160,1960,1032,320,1952,2416,1424,632
1136,1904,936,296,2008,2416,1448,656
1040,1816,880,288,1984,2264,1384,672
984,1784,920,224,1944,2088,1296,592
1024,1720,904,224,1768,1984,1200,488
976,1704,1056,232,1640,1896,1136,440
984,1672,1144,264,1520,1856,1088,408
1016,1664,1280,344,1376,1856,1032,328
1096,1608,1376,392,1296,1816,992,296
1176,1624,1536,528,1200,1784,968,336
1240,1688,1608,600,1144,1800,960,304
1272,1816,1704,608,1192,1880,1008,336
1320,1896,1648,536,1240,1976,1048,400
1264,1992,1496,472,1440,2080,1128,416
1208,1992,1320,352,1600,2232,1240,440
1192,1968,1120,288,1792,2312,1336,552
1112,1872,968,296,1936,2272,1352,568
1064,1792,888,272,1920,2176,1328,560
1040,1744,896,240,1888,2080,1272,576
1000,1720,968,272,1736,1992,1208,488
992,1728,1016,256,1632,1928,1096,432
1000,1648,1104,240,1488,1824,1072,360
1008,1568,1176,352,1400,1800,1024,304
1040,1552,1328,392,1256,1728,952,312
1064,1480,1464,456,1152,1720,944,272
1152,1472,1624,568,1024,1696,904,288
1232,1504,1752,680,968,1632,864,304
1312,1616,1872,760,936,1664,888,312
1360,1632,1888,760,1016,1712,928,320
1360,1784,1816,688,1136,1808,984,344
1336,1952,1656,576,1256,2008,1088,376
1336,2088,1520,456,1464,2168,1184,416
1256,2056,1336,384,1688,2320,1296,496
1216,2032,1144,344,1824,2320,1352,536
1144,1936,1040,304,1808,2296,1360,576
1064,1872,1008,264,1824,2184,1288,512
1040,1824,1016,248,1728,2056,1176,456
984,1712,1096,280,1624,1912,1152,400
1016,1632,1192,280,1472,1816,1056,344
1040,1584,1288,344,1328,1792,968,344
1080,1496,1432,464,1168,1712,936,320
1136,1440,1536,512,1104,1688,888,248
1192,1432,1704,624,1016,1632,896,256
1200,1472,1768,704,960,1632,872,280
1256,1584,1776,688,960,1712,904,296
1280,1648,1768,672,1080,1792,960,312
1296,1816,1712,600,1216,1936,1032,336
1288,1952,1560,496,1360,2056,1112,424
1200,2000,1384,384,1544,2168,1224,464
1192,1976,1240,344,1688,2232,1248,496
1128,1912,1104,256,1792,2232,1288,512
1088,1848,992,272,1848,2168,1296,568
1040,1768,944,272,1848,2048,1264,544
976,1712,960,224,1768,1952,1192,536
952,1656,976,280,1656,1904,1152,448
992,1608,1072,272,1504,1816,1048,376
1000,1608,1200,336,1384,1784,1000,336
1024,1512,1304,344,1248,1736,928,280
1072,1472,1504,440,1072,1704,896,224
1096,1464,1640,592,1048,1648,896,280
1192,1448,1744,632,1016,1640,888,264
1272,1544,1760,712,1000,1704,912,264
1312,1672,1816,728,1032,1720,920,312
1312,1824,1816,648,1112,1824,984,344
1248,2008,1248,352,1672,2288,1256,464
1160,2016,1104,304,1760,2320,1336,528
1160,1928,1024,312,1816,2296,1360,552
1056,1864,992,288,1824,2176,1296,544
1040,1832,1024,272,1776,2096,1248,472
1032,1736,1048,232,1696,1952,1152,440
1024,1696,1144,272,1512,1904,1088,344
1056,1664,1224,344,1352,1816,1032,336
1104,1584,1376,328,1280,1784,960,296
1144,1576,1528,448,1216,1744,976,272
984,1584,1160,264,1480,1800,1048,400
1040,1616,1272,328,1352,1816,984,320
1072,1536,1376,408,1248,1720,928,256
1152,1480,1544,520,1096,1672,896,232
1176,1512,1664,632,1024,1688,872,256
1264,1576,1768,672,984,1688,904,272
1336,1720,1792,696,1024,1744,944,288
1312,1848,1808,664,1128,1832,992,336
1344,1944,1696,600,1232,1976,1056,360
1304,1992,1528,496,1400,2096,1088,416
1216,2008,1360,400,1528,2120,1160,424
1168,1960,1184,376,1704,2208,1208,464
1080,1872,1048,296,1736,2120,1232,480
1008,1792,1000,256,1712,2032,1176,472
1008,1736,1048,240,1672,1920,1128,408
968,1664,1088,232,1496,1776,1040,320
1000,1568,1176,272,1344,1664,984,280
992,1448,1304,336,1216,1624,920,256
1032,1408,1432,480,1080,1616,864,224
1064,1360,1504,568,1016,1608,832,216
1120,1424,1624,640,1000,1576,824,248
1192,1440,1688,696,952,1608,848,208
1248,1608,1784,688,1016,1648,880,272
1312,1736,1768,648,1096,1792,936,296
1344,1960,1664,592,1288,1992,1032,360
1304,2064,1504,504,1456,2136,1136,432
1296,2104,1344,416,1648,2264,1224,488
1224,2008,1160,352,1768,2320,1312,512
1128,1936,1056,288,1848,2256,1288,552
1072,1856,1016,256,1816,2192,1264,480
1032,1800,1024,272,1776,2048,1216,472
1032,1752,1056,304,1616,1936,1136,392
992,1680,1176,272,1488,1840,1048,352
1056,1648,1248,328,1392,1784,984,328
1056,1608,1360,376,1224,1720,920,272
1112,1480,1432,448,1136,1664,880,248
1112,1464,1616,536,1016,1592,880,232
1200,1464,1752,632,960,1616,840,240
1320,1808,1840,672,1096,1808,952,312
1368,1912,1736,624,1184,1912,992,368
1328,2024,1576,504,1328,2064,1096,408
1256,2056,1368,400,1528,2168,1168,464
1184,2032,1224,368,1712,2232,1240,464
1144,1920,1072,312,1736,2192,1224,496
1072,1864,1048,272,1720,2136,1216,440
1072,1776,1064,312,1632,1992,1128,416
1024,1728,1128,272,1536,1912,1064,368
1040,1624,1272,320,1304,1752,984,248
1080,1560,1400,424,1208,1696,920,288
1072,1480,1496,504,1088,1672,872,248
1136,1432,1600,560,1008,1616,856,240
1200,1544,1744,656,1016,1640,864,280
1264,1584,1784,688,992,1696,896,264
1312,1744,1784,664,1080,1768,936,312
1320,1864,1656,592,1232,1888,968,320
1304,2000,1504,488,1368,2024,1072,368
1184,1960,1336,416,1536,2096,1168,432
1144,1896,1184,344,1640,2120,1200,408
1064,1840,1112,312,1672,2048,1136,432
984,1728,1056,288,1624,1912,1112,416
944,1560,1048,264,1496,1792,1048,344
928,1568,1104,272,1384,1680,952,360
912,1416,1136,328,1320,1616,920,280
944,1352,1240,312,1168,1552,864,216
992,1296,1360,424,1080,1552,824,240
1024,1352,1448,496,992,1544,848,240
1064,1376,1512,528,1000,1568,832,216
1136,1480,1672,552,1016,1608,840,240
1200,1600,1736,640,1032,1672,904,288
1264,1712,1720,608,1112,1768,936,304
1248,1864,1672,544,1232,1856,992,336
1248,1904,1480,440,1352,2000,1056,328
1192,1936,1328,408,1544,2056,1152,392
1136,1936,1128,352,1680,2160,1208,464
1088,1864,1008,288,1808,2144,1232,504
1024,1792,928,248,1848,2056,1240,512
1008,1728,920,232,1808,1976,1192,496
992,1696,928,232,1696,1912,1144,472
968,1672,1008,264,1672,1896,1120,424
976,1672,1096,280,1520,1800,1032,352
1016,1632,1216,280,1384,1768,1000,344
1024,1592,1328,344,1304,1752,944,272
1096,1592,1456,464,1184,1728,928,288
1136,1584,1544,456,1088,1712,904,288
1192,1624,1696,600,1064,1736,936,312
1280,1736,1752,640,1056,1760,936,320
1312,1840,1760,632,1112,1824,936,336
